mirnaid,refseqid,genesymbol,start,end,bindingp,energy,seed,accessibility,au,phylopstem,phylopflank,me,number_of_pairings,binding_region_length,longest_consecutive_pairings,position,validated,TargetScan,miRDB
hsa-miR-23a-5p,NM_020702,MYORG,755,787,0.923076923077,-32.2,1,2.663504e-05,0.353,0.0,0.0,-3.937574446201665,18,32,9,CDS,,0,0
hsa-miR-23a-5p,NM_020702,MYORG,3222,3249,1.0,-28.6,1,0.001521536,0.456,0.0,0.0,-8.056611621014136,18,27,9,3UTR,,0,0
hsa-miR-23a-5p,NM_020702,MYORG,2369,2406,0.846153846154,-28.2,1,0.04313469,0.412,0.0,0.0,-3.937574446201665,17,23,13,3UTR,,0,0
hsa-miR-23a-3p,NM_020702,MYORG,5172,5214,0.923076923077,-21.4,1,0.01727673,0.412,0.0,0.0,-5.1900497996759025,18,27,9,3UTR,,0,0
hsa-miR-24-1-5p,NM_020702,MYORG,4255,4276,0.923076923077,-20.4,1,5.645249e-05,0.588,0.0,0.0,-7.991346406196866,17,21,7,3UTR,,0,0
hsa-miR-24-3p,NM_020702,MYORG,550,583,0.846153846154,-26.4,1,6.231118e-06,0.294,0.0,0.0,-3.937574446201665,17,28,12,CDS,,0,0
hsa-miR-24-3p,NM_020702,MYORG,5510,5544,0.846153846154,-23.5,1,7.735824e-05,0.5,0.0,0.0,-3.793324837357118,19,34,11,3UTR,,0,0
hsa-miR-24-2-5p,NM_020702,MYORG,5005,5022,0.923076923077,-18.9,1,8.184101e-05,0.441,0.0,0.0,-10.781819413916883,11,17,8,3UTR,,0,0
hsa-miR-25-5p,NM_020702,MYORG,1159,1193,1.0,-26.2,1,0.0003191449,0.441,0.0,0.0,-8.550105501956237,15,21,8,CDS,,0,0
hsa-miR-25-5p,NM_020702,MYORG,5037,5051,1.0,-22.2,1,6.236913e-05,0.412,0.0,0.0,-9.309086974488375,12,14,10,3UTR,,0,0
hsa-miR-25-3p,NM_020702,MYORG,5009,5036,0.846153846154,-21.5,1,7.880842e-05,0.441,0.0,0.0,-6.549290197143331,18,27,8,3UTR,,0,0
hsa-miR-26b-3p,NM_020702,MYORG,3765,3802,0.923076923077,-20.4,1,0.0002931962,0.441,0.0,0.0,-8.573508368464264,19,37,8,3UTR,,0,0
hsa-miR-27a-5p,NM_020702,MYORG,1761,1804,0.846153846154,-26.5,1,4.878414e-05,0.382,0.0,0.0,-5.692450279622925,19,26,8,CDS,,0,0
hsa-miR-27a-5p,NM_020702,MYORG,6271,6313,0.923076923077,-23.8,1,0.0130611,0.588,0.0,0.0,-6.618099312767468,19,42,9,3UTR,,0,0
hsa-miR-28-5p,NM_020702,MYORG,4147,4176,0.961538461538,-21.2,1,0.000201633,0.544,0.0,0.0,-6.514540193678739,15,18,10,3UTR,,0,0
hsa-miR-28-5p,NM_020702,MYORG,6072,6089,0.923076923077,-20.4,1,0.000521847,0.574,0.0,0.0,-6.514540193678739,15,17,10,3UTR,,0,0
hsa-miR-30a-3p,NM_020702,MYORG,2844,2870,0.923076923077,-19.6,1,0.000756198,0.382,0.0,0.0,-4.794414363722071,20,26,10,3UTR,,0,0
hsa-miR-31-5p,NM_020702,MYORG,1132,1179,1.0,-21.9,1,0.0001278154,0.368,0.0,0.0,-7.140128146953473,15,17,15,CDS,,0,0
hsa-miR-31-5p,NM_020702,MYORG,3207,3227,0.923076923077,-21.3,1,7.156205e-05,0.441,0.0,0.0,-14.134781786871203,14,20,6,3UTR,,0,0
hsa-miR-31-3p,NM_020702,MYORG,5204,5225,1.0,-20.6,1,0.0005337717,0.426,0.0,0.0,-13.523329490779439,15,21,9,3UTR,,0,0
hsa-miR-32-3p,NM_020702,MYORG,3375,3387,0.923076923077,-16.1,1,0.05157505,0.515,0.0,0.0,-9.779611548941542,11,12,11,3UTR,,0,0
hsa-miR-33a-5p,NM_020702,MYORG,88,108,0.923076923077,-20.5,1,0.0003725445,0.412,0.0,0.0,-5.495113920508112,17,20,15,5UTR,,0,0
hsa-miR-33a-3p,NM_020702,MYORG,1431,1454,0.923076923077,-23.7,1,2.256534e-06,0.338,0.0,0.0,-4.95700071937229,19,23,10,CDS,,0,0
hsa-miR-92a-1-5p,NM_020702,MYORG,1474,1511,1.0,-24.3,1,2.051353e-05,0.294,0.0,0.0,-3.937574446201665,20,29,13,CDS,,0,0
hsa-miR-92a-1-5p,NM_020702,MYORG,4933,4975,1.0,-22.5,1,0.008626153,0.441,0.0,0.0,-3.793324837357118,19,42,9,3UTR,,0,0
hsa-miR-92a-3p,NM_020702,MYORG,3478,3496,0.846153846154,-22.8,1,8.04484e-06,0.426,0.0,0.0,-12.640789312202793,17,18,17,3UTR,,0,0
hsa-miR-92a-2-5p,NM_020702,MYORG,2853,2890,0.923076923077,-27.4,1,2.106885e-05,0.426,0.0,0.0,-8.258727333827098,17,22,8,3UTR,,0,1
hsa-miR-92a-2-5p,NM_020702,MYORG,3875,3897,0.923076923077,-25.1,1,0.02977676,0.471,0.0,0.0,-8.8616953074606,17,22,9,3UTR,,0,1
hsa-miR-92a-2-5p,NM_020702,MYORG,3845,3869,1.0,-23.8,1,0.08810924,0.456,0.0,0.0,-3.937574446201665,17,24,7,3UTR,,0,1
hsa-miR-93-5p,NM_020702,MYORG,903,923,0.923076923077,-25.7,1,2.862527e-06,0.353,0.0,0.0,-9.779611548941542,16,20,9,CDS,,0,0
hsa-miR-93-5p,NM_020702,MYORG,1421,1454,0.846153846154,-25.2,1,2.256534e-06,0.338,0.0,0.0,-9.546562468637928,19,33,10,CDS,,0,0
hsa-miR-93-5p,NM_020702,MYORG,1302,1320,0.846153846154,-23.3,0,3.565294e-07,0.309,0.0,0.0,-18.3913328800538,14,18,10,CDS,,0,0
hsa-miR-93-3p,NM_020702,MYORG,2848,2870,1.0,-23.8,1,0.000756198,0.382,0.0,0.0,-12.4880708220001,17,22,10,3UTR,,0,0
hsa-miR-96-5p,NM_020702,MYORG,377,398,1.0,-21.2,1,1.081135e-06,0.324,0.0,0.0,-9.592934641634889,17,21,9,CDS,,0,0
hsa-miR-96-5p,NM_020702,MYORG,2159,2174,0.923076923077,-19.5,1,6.007754e-06,0.309,0.0,0.0,-6.449759621627232,13,15,7,CDS,,0,0
hsa-miR-96-3p,NM_020702,MYORG,5062,5081,0.923076923077,-19.7,1,0.0001287168,0.485,0.0,0.0,-9.3473573412163,16,19,7,3UTR,,0,0
hsa-miR-96-3p,NM_020702,MYORG,1125,1141,0.923076923077,-19.3,1,2.404552e-06,0.338,0.0,0.0,-13.6655996434504,11,13,11,CDS,,0,0
hsa-miR-98-5p,NM_020702,MYORG,5314,5327,0.846153846154,-15.3,1,0.0005809819,0.515,0.0,0.0,-8.058226728550057,12,13,12,3UTR,,1,1
hsa-miR-99a-5p,NM_020702,MYORG,44,62,1.0,-22.0,1,1.23201e-07,0.353,0.0,0.0,-9.095974206627575,16,18,11,5UTR,,0,0
hsa-miR-99a-3p,NM_020702,MYORG,2470,2488,0.923076923077,-23.1,1,2.526728e-05,0.397,0.0,0.0,-9.685015040379778,16,18,12,3UTR,,0,0
hsa-miR-99a-3p,NM_020702,MYORG,5650,5676,0.923076923077,-22.3,1,0.0003996654,0.544,0.0,0.0,-10.370246550194768,20,26,9,3UTR,,0,0
hsa-miR-100-5p,NM_020702,MYORG,30,62,0.846153846154,-22.2,1,1.23201e-07,0.353,0.0,0.0,-9.095974206627575,16,19,11,5UTR,,0,0
hsa-miR-101-5p,NM_020702,MYORG,4211,4241,1.0,-23.8,1,0.003150425,0.618,0.0,0.0,-6.857959480565336,17,20,14,3UTR,,0,0
hsa-miR-101-5p,NM_020702,MYORG,6135,6154,0.923076923077,-22.3,1,0.001569817,0.559,0.0,0.0,-10.204762790161691,16,19,8,3UTR,,0,0
hsa-miR-29b-1-5p,NM_020702,MYORG,2410,2460,0.846153846154,-26.6,1,2.788029e-05,0.426,0.0,0.0,-3.937574446201665,23,50,10,3UTR,,0,0
hsa-miR-29b-1-5p,NM_020702,MYORG,3691,3709,0.846153846154,-22.3,1,0.01239999,0.529,0.0,0.0,-16.265369821834263,16,18,10,3UTR,,0,0
hsa-miR-29b-2-5p,NM_020702,MYORG,2152,2173,0.923076923077,-23.8,1,3.115463e-06,0.324,0.0,0.0,-5.962154619118543,17,21,9,CDS,,0,0
hsa-miR-29b-2-5p,NM_020702,MYORG,1139,1158,1.0,-22.3,1,0.0003418628,0.353,0.0,0.0,-8.851285568499378,17,19,13,CDS,,0,0
hsa-miR-103a-2-5p,NM_020702,MYORG,622,665,1.0,-24.6,1,6.682043e-06,0.265,0.0,0.0,-6.09222096393106,16,21,7,CDS,,0,0
hsa-miR-103a-3p,NM_020702,MYORG,1147,1171,0.846153846154,-21.5,1,0.001706593,0.353,0.0,0.0,-8.732417624724516,18,24,7,CDS,,0,0
hsa-miR-103a-1-5p,NM_020702,MYORG,622,665,1.0,-24.5,1,6.682043e-06,0.265,0.0,0.0,-6.09222096393106,16,21,7,CDS,,0,0
hsa-miR-105-5p,NM_020702,MYORG,2894,2910,0.923076923077,-21.6,0,5.584267e-05,0.441,0.0,0.0,-16.85568901730969,13,16,7,3UTR,,0,0
hsa-miR-105-3p,NM_020702,MYORG,1875,1895,1.0,-23.7,1,0.000871252,0.309,0.0,0.0,-6.827670524181695,17,20,7,CDS,,0,0
hsa-miR-105-3p,NM_020702,MYORG,991,1035,1.0,-22.0,1,2.230893e-06,0.397,0.0,0.0,-6.514540193678739,17,21,11,CDS,,0,0
hsa-miR-106a-5p,NM_020702,MYORG,6396,6419,0.923076923077,-22.0,1,2.24595e-06,0.676,0.0,0.0,-7.803670806344982,18,23,9,3UTR,,0,0
hsa-miR-196a-5p,NM_020702,MYORG,6063,6098,1.0,-23.4,1,0.02329883,0.544,0.0,0.0,-4.026373917660731,20,35,10,3UTR,,0,0
hsa-miR-196a-5p,NM_020702,MYORG,4150,4185,1.0,-23.0,1,0.04608118,0.559,0.0,0.0,-4.026373917660731,20,35,10,3UTR,,0,0
hsa-miR-196a-5p,NM_020702,MYORG,1284,1308,0.846153846154,-22.8,1,0.0001103678,0.324,0.0,0.0,-8.137429333968655,18,24,11,CDS,,0,0
hsa-miR-196a-5p,NM_020702,MYORG,5401,5421,1.0,-22.8,1,5.090406e-08,0.412,0.0,0.0,-5.813840636892696,16,20,11,3UTR,,0,0
hsa-miR-197-5p,NM_020702,MYORG,587,610,1.0,-29.3,1,0.01836076,0.353,0.0,0.0,-5.694283598550164,19,23,7,CDS,,0,0
hsa-miR-197-5p,NM_020702,MYORG,2518,2541,1.0,-28.1,1,0.02892999,0.471,0.0,0.0,-5.927332678853777,17,23,9,3UTR,,0,0
hsa-miR-197-3p,NM_020702,MYORG,3306,3333,1.0,-23.6,1,0.0005274983,0.456,0.0,0.0,-7.2379701334214825,18,27,6,3UTR,,0,0
hsa-miR-198,NM_020702,MYORG,6259,6283,0.961538461538,-25.4,1,0.02237956,0.544,0.0,0.0,-5.180080914529843,19,24,8,3UTR,,0,0
hsa-miR-198,NM_020702,MYORG,488,510,0.846153846154,-24.2,1,5.21214e-05,0.338,0.0,0.0,-8.865138507934507,17,22,7,CDS,,0,0
hsa-miR-199a-5p,NM_020702,MYORG,3344,3362,0.923076923077,-20.5,1,0.001843613,0.515,0.0,0.0,-7.914349138811099,14,18,9,3UTR,,0,0
hsa-miR-199a-5p,NM_020702,MYORG,3794,3818,0.846153846154,-20.0,1,0.00388564,0.471,0.0,0.0,-14.684861041038879,19,24,8,3UTR,,0,0
hsa-miR-208a-5p,NM_020702,MYORG,903,932,0.846153846154,-23.1,1,3.387329e-05,0.309,0.0,0.0,-3.937574446201665,17,29,13,CDS,,0,0
hsa-miR-208a-5p,NM_020702,MYORG,2993,3011,0.846153846154,-23.3,1,2.809796e-06,0.456,0.0,0.0,-9.076037894184761,15,18,8,3UTR,,0,0
hsa-miR-129-5p,NM_020702,MYORG,2303,2341,1.0,-24.7,1,0.00497758,0.353,0.0,0.0,-4.95700071937229,17,21,9,CDS,,0,0
hsa-miR-129-5p,NM_020702,MYORG,4760,4778,1.0,-22.1,1,0.00136636,0.603,0.0,0.0,-11.254033235030066,16,18,9,3UTR,,0,0
hsa-miR-129-1-3p,NM_020702,MYORG,5790,5803,0.846153846154,-17.1,1,0.001456055,0.559,0.0,0.0,-7.255896845946231,12,13,12,3UTR,,0,0
hsa-miR-148a-5p,NM_020702,MYORG,3480,3498,0.846153846154,-17.7,1,8.061263e-07,0.426,0.0,0.0,-13.928624447013624,16,18,13,3UTR,,0,0
hsa-miR-30c-2-3p,NM_020702,MYORG,3177,3229,1.0,-26.1,1,4.673999e-05,0.456,0.0,0.0,-6.251209375382295,17,21,7,3UTR,,0,1
hsa-miR-139-3p,NM_020702,MYORG,1496,1528,1.0,-27.7,1,4.88534e-06,0.353,0.0,0.0,-4.95700071937229,19,25,7,CDS,,0,0
hsa-miR-139-3p,NM_020702,MYORG,772,802,0.846153846154,-26.5,1,0.003055516,0.338,0.0,0.0,-6.969596721160855,19,30,8,CDS,,0,0
hsa-miR-147a,NM_020702,MYORG,3998,4019,0.846153846154,-20.6,1,0.005235336,0.574,0.0,0.0,-3.937574446201665,18,21,7,3UTR,,0,0
hsa-miR-147a,NM_020702,MYORG,5216,5234,0.923076923077,-19.3,1,0.001630319,0.426,0.0,0.0,-12.263798748937765,14,18,7,3UTR,,0,0
hsa-miR-7-2-3p,NM_020702,MYORG,2896,2944,0.846153846154,-18.7,1,0.01360672,0.529,0.0,0.0,-4.95700071937229,17,48,8,3UTR,,0,0
hsa-miR-7-2-3p,NM_020702,MYORG,5658,5676,0.846153846154,-18.8,1,0.0003996654,0.544,0.0,0.0,-12.694160650812655,15,18,8,3UTR,,0,0
hsa-miR-10a-5p,NM_020702,MYORG,3792,3820,0.923076923077,-20.0,1,0.02095072,0.456,0.0,0.0,-5.227013184751041,18,28,8,3UTR,,0,0
hsa-miR-10a-3p,NM_020702,MYORG,3450,3469,0.846153846154,-17.4,1,0.0007041815,0.412,0.0,0.0,-6.251209375382295,17,19,14,3UTR,,0,0
hsa-miR-10b-5p,NM_020702,MYORG,3801,3820,1.0,-19.1,1,0.02095072,0.456,0.0,0.0,-9.06124504818596,13,19,8,3UTR,,0,0
hsa-miR-10b-3p,NM_020702,MYORG,3449,3467,0.846153846154,-19.9,1,0.001823054,0.412,0.0,0.0,-8.1593609078047,14,18,6,3UTR,,0,0
hsa-miR-34a-5p,NM_020702,MYORG,5205,5256,1.0,-26.8,1,7.241461e-05,0.382,0.0,0.0,-4.761823477911366,17,22,13,3UTR,,0,0
hsa-miR-34a-5p,NM_020702,MYORG,4261,4284,1.0,-24.6,1,4.487562e-05,0.588,0.0,0.0,-3.793324837357118,18,23,12,3UTR,,0,0
hsa-miR-181a-5p,NM_020702,MYORG,2254,2284,0.923076923077,-22.0,1,0.0001441564,0.382,0.0,0.0,-6.013390377618052,20,30,9,CDS,,0,0
hsa-miR-181b-5p,NM_020702,MYORG,5306,5320,0.846153846154,-22.8,0,0.002375628,0.485,0.0,0.0,-21.72277599526934,13,14,13,3UTR,,0,0
hsa-miR-181c-5p,NM_020702,MYORG,2254,2284,0.846153846154,-20.8,1,0.0001441564,0.382,0.0,0.0,-8.303804028968646,19,30,10,CDS,,0,0
hsa-miR-181c-5p,NM_020702,MYORG,3473,3490,0.923076923077,-20.0,1,1.042078e-06,0.441,0.0,0.0,-8.41763659008735,16,17,16,3UTR,,0,0
hsa-miR-181c-3p,NM_020702,MYORG,3791,3809,0.923076923077,-20.7,1,9.662327e-05,0.471,0.0,0.0,-11.418273199709544,12,18,9,3UTR,,0,0
hsa-miR-182-3p,NM_020702,MYORG,2124,2172,1.0,-21.3,1,3.979488e-06,0.338,0.0,0.0,-5.226705058867908,16,22,9,CDS,,0,0
hsa-miR-183-5p,NM_020702,MYORG,79,95,0.923076923077,-19.4,1,0.0004804185,0.426,0.0,0.0,-5.4812609810729835,15,16,15,5UTR,,0,0
hsa-miR-187-5p,NM_020702,MYORG,1991,2015,0.923076923077,-24.0,1,7.641662e-06,0.294,0.0,0.0,-9.652444999592046,17,24,7,CDS,,0,1
hsa-miR-196a-3p,NM_020702,MYORG,5908,5934,0.846153846154,-20.6,1,0.0001541157,0.574,0.0,0.0,-6.969596721160855,18,26,11,3UTR,,0,0
hsa-miR-196a-3p,NM_020702,MYORG,4000,4015,0.846153846154,-19.3,1,2.290075e-05,0.559,0.0,0.0,-14.72703189566035,13,15,10,3UTR,,0,0
hsa-miR-203a-5p,NM_020702,MYORG,5738,5762,0.923076923077,-21.1,1,0.0146577,0.618,0.0,0.0,-7.91236201216959,19,24,13,3UTR,,0,0
hsa-miR-203a-3p,NM_020702,MYORG,1438,1475,0.846153846154,-18.1,1,0.0003457063,0.324,0.0,0.0,-8.239059659786438,15,19,11,CDS,,0,0
hsa-miR-204-5p,NM_020702,MYORG,3155,3182,1.0,-22.1,1,0.000620316,0.471,0.0,0.0,-4.1706235265052785,19,27,8,3UTR,,0,1
hsa-miR-204-5p,NM_020702,MYORG,4875,4899,0.846153846154,-20.3,1,2.357315e-06,0.412,0.0,0.0,-7.517426836101634,18,24,8,3UTR,,0,1
hsa-miR-204-5p,NM_020702,MYORG,4326,4355,0.846153846154,-19.9,1,0.06647075,0.529,0.0,0.0,-5.08245545002336,19,29,8,3UTR,,0,1
hsa-miR-204-3p,NM_020702,MYORG,6020,6070,0.923076923077,-28.8,1,0.0001038525,0.5,0.0,0.0,-3.937574446201665,21,44,10,3UTR,,0,0
hsa-miR-204-3p,NM_020702,MYORG,4119,4157,0.846153846154,-27.5,1,7.945047e-05,0.456,0.0,0.0,-5.4812609810729835,19,38,6,3UTR,,0,0
hsa-miR-205-5p,NM_020702,MYORG,5650,5672,0.923076923077,-24.1,1,0.002460849,0.559,0.0,0.0,-12.236706477329138,18,22,11,3UTR,,0,0
hsa-miR-205-5p,NM_020702,MYORG,5733,5756,0.923076923077,-22.7,1,0.06040441,0.603,0.0,0.0,-13.717049859791123,18,23,9,3UTR,,0,0
hsa-miR-205-5p,NM_020702,MYORG,5879,5911,1.0,-21.3,1,0.0010067,0.485,0.0,0.0,-5.4812609810729835,19,32,15,3UTR,,0,0
hsa-miR-210-5p,NM_020702,MYORG,645,665,0.820512820513,-26.8,1,6.682043e-06,0.265,0.0,0.0,-7.396090379203992,16,20,7,CDS,,0,0
hsa-miR-210-3p,NM_020702,MYORG,1128,1148,0.846153846154,-26.4,1,1.83448e-07,0.353,0.0,0.0,-6.013390377618052,16,20,6,CDS,MIRT003162,0,1
hsa-miR-210-3p,NM_020702,MYORG,2034,2056,0.846153846154,-25.4,1,1.657614e-05,0.338,0.0,0.0,-7.843498853153337,17,22,7,CDS,MIRT003162,0,1
hsa-miR-211-5p,NM_020702,MYORG,3155,3182,1.0,-22.1,1,0.000620316,0.471,0.0,0.0,-4.1706235265052785,19,27,8,3UTR,,0,1
hsa-miR-211-5p,NM_020702,MYORG,1666,1685,0.830769230769,-21.0,1,1.401801e-05,0.397,0.0,0.0,-9.3473573412163,16,19,10,CDS,,0,1
hsa-miR-212-5p,NM_020702,MYORG,1616,1632,0.923076923077,-22.7,1,1.794241e-07,0.294,0.0,0.0,-6.747589273982352,15,16,15,CDS,,0,0
hsa-miR-212-3p,NM_020702,MYORG,5729,5753,1.0,-20.8,1,0.02514337,0.618,0.0,0.0,-4.1706235265052785,18,24,11,3UTR,,0,0
hsa-miR-214-5p,NM_020702,MYORG,2201,2220,0.923076923077,-20.5,1,2.090671e-05,0.382,0.0,0.0,-9.963395367418139,16,19,11,CDS,,0,0
hsa-miR-214-3p,NM_020702,MYORG,3342,3362,1.0,-24.0,1,0.001843613,0.515,0.0,0.0,-8.145411092473203,17,20,13,3UTR,,0,0
hsa-miR-215-3p,NM_020702,MYORG,2471,2489,1.0,-22.8,1,2.142587e-05,0.397,0.0,0.0,-6.5006872542436085,16,18,12,3UTR,,0,0
hsa-miR-215-3p,NM_020702,MYORG,3314,3334,0.923076923077,-21.6,1,0.02738544,0.471,0.0,0.0,-6.514540193678739,17,20,9,3UTR,,0,0
hsa-miR-215-3p,NM_020702,MYORG,4876,4898,0.846153846154,-20.6,1,2.331516e-06,0.412,0.0,0.0,-11.883307843458567,15,22,10,3UTR,,0,0
hsa-miR-216a-5p,NM_020702,MYORG,2834,2851,0.846153846154,-20.5,1,5.588408e-08,0.441,0.0,0.0,-11.13885194640897,15,17,13,3UTR,,0,0
hsa-miR-216a-5p,NM_020702,MYORG,3534,3556,0.923076923077,-20.1,1,0.0003751507,0.515,0.0,0.0,-5.226705058867908,18,22,12,3UTR,,0,0
hsa-miR-216a-3p,NM_020702,MYORG,1493,1515,0.846153846154,-22.8,1,4.570697e-07,0.309,0.0,0.0,-9.352435384560064,18,22,13,CDS,,0,0
hsa-miR-216a-3p,NM_020702,MYORG,5474,5496,0.846153846154,-19.4,1,0.003222137,0.559,0.0,0.0,-7.938095361715103,17,22,10,3UTR,,0,0
hsa-miR-216a-3p,NM_020702,MYORG,4389,4417,0.846153846154,-19.5,1,0.004716872,0.618,0.0,0.0,-6.969596721160855,17,28,11,3UTR,,0,0
hsa-miR-216a-3p,NM_020702,MYORG,4944,4976,0.846153846154,-19.4,1,0.006976202,0.456,0.0,0.0,-6.514540193678739,14,32,10,3UTR,,0,0
hsa-miR-218-5p,NM_020702,MYORG,2627,2663,1.0,-24.0,1,0.01032248,0.544,0.0,0.0,-6.236470572775607,19,27,11,3UTR,MIRT440384,1,1
hsa-miR-218-2-3p,NM_020702,MYORG,2904,2925,1.0,-21.9,1,0.0005002933,0.471,0.0,0.0,-3.793324837357118,18,21,10,3UTR,,0,0
hsa-miR-219a-1-3p,NM_020702,MYORG,2300,2321,0.846153846154,-23.6,1,0.0003488136,0.353,0.0,0.0,-11.011302550440552,17,21,9,CDS,,0,0
hsa-miR-219a-1-3p,NM_020702,MYORG,6218,6244,1.0,-22.5,1,0.002277238,0.529,0.0,0.0,-6.340008846841362,19,26,6,3UTR,,0,0
hsa-miR-221-3p,NM_020702,MYORG,1845,1863,0.923076923077,-24.4,1,2.281268e-06,0.279,0.0,0.0,-11.357007308233957,15,18,12,CDS,,0,0
hsa-miR-221-3p,NM_020702,MYORG,2197,2215,0.923076923077,-21.5,1,5.064074e-07,0.397,0.0,0.0,-6.859191065198292,16,18,10,CDS,,0,0
