,mirnaid,refseqid,genesymbol,start,end,bindingp,energy,seed,accessibility,au,phylopstem,phylopflank,me,number_of_pairings,binding_region_length,longest_consecutive_pairings,position,TargetScan,miRDB,refseqid_1,genesymbol_1,start_1,end_1,bindingp_1,energy_1,seed_1,accessibility_1,au_1,phylopstem_1,phylopflank_1,me_1,number_of_pairings_1,binding_region_length_1,longest_consecutive_pairings_1,position_1,TargetScan_1,miRDB_1,refseqid_2,genesymbol_2,start_2,end_2,bindingp_2,energy_2,seed_2,accessibility_2,au_2,phylopstem_2,phylopflank_2,me_2,number_of_pairings_2,binding_region_length_2,longest_consecutive_pairings_2,position_2,TargetScan_2,miRDB_2,refseqid_3,genesymbol_3,start_3,end_3,bindingp_3,energy_3,seed_3,accessibility_3,au_3,phylopstem_3,phylopflank_3,me_3,number_of_pairings_3,binding_region_length_3,longest_consecutive_pairings_3,position_3,TargetScan_3,miRDB_3,refseqid_4,genesymbol_4,start_4,end_4,bindingp_4,energy_4,seed_4,accessibility_4,au_4,phylopstem_4,phylopflank_4,me_4,number_of_pairings_4,binding_region_length_4,longest_consecutive_pairings_4,position_4,TargetScan_4,miRDB_4,refseqid_5,genesymbol_5,start_5,end_5,bindingp_5,energy_5,seed_5,accessibility_5,au_5,phylopstem_5,phylopflank_5,me_5,number_of_pairings_5,binding_region_length_5,longest_consecutive_pairings_5,position_5,TargetScan_5,miRDB_5
11,hsa-miR-24-3p,NM_006749,SLC20A2,2531,2562,0.923076923077,-21.2,1,6.191091e-06,0.397,0.0,0.0,-9.964902622363823,16,19,14,CDS,0,0,NM_020702,MYORG,550,583,0.846153846154,-26.4,1,6.2311180000000004e-06,0.294,0.0,0.0,-3.9375744462016646,17,28,12,CDS,0,0,NM_004736,XPR1,1753,1799,0.846153846154,-23.9,1,0.0001733759,0.529,0.0,0.0,-3.793324837357118,19,46,9,CDS,0,0,NM_002608,PDGFB,1342,1366,0.923076923077,-24.8,1,0.0023106999999999997,0.368,0.0,0.0,-5.529863923972705,18,24,9,CDS,0,0,NM_002609,PDGFRB,4278,4294,1.0,-24.7,1,3.4031300000000005e-06,0.382,0.0,0.0,-4.993964104447428,15,16,15,3UTR,1,1,NM_021219,JAM2,4102,4123,0.846153846154,-19.7,1,0.01307665,0.691,0.0,0.0,-7.91236201216959,17,21,7,3UTR,0,0
12,hsa-miR-24-2-5p,NM_006749,SLC20A2,1894,1913,1.0,-20.1,1,4.469887e-05,0.382,0.0,0.0,-6.819302662522082,15,19,12,CDS,0,0,NM_020702,MYORG,5005,5022,0.923076923077,-18.9,1,8.184100999999999e-05,0.441,0.0,0.0,-10.781819413916883,11,17,8,3UTR,0,0,NM_004736,XPR1,257,301,0.923076923077,-24.8,1,0.001454674,0.529,0.0,0.0,-5.838533207394711,19,26,10,CDS,0,0,NM_002608,PDGFB,3203,3238,1.0,-21.3,1,2.413859e-05,0.41200000000000003,0.0,0.0,-7.075458407091997,12,14,12,3UTR,0,0,NM_002609,PDGFRB,5342,5375,1.0,-23.1,1,1.022074e-06,0.41200000000000003,0.0,0.0,-6.1485795550840905,13,16,9,3UTR,0,0,NM_021219,JAM2,333,371,1.0,-19.0,1,0.000143688,0.324,0.0,0.0,-7.719171897350176,11,15,5,5UTR,0,0
13,hsa-miR-25-5p,NM_006749,SLC20A2,2726,2744,1.0,-20.7,1,0.007087439,0.382,0.0,0.0,-5.9155304747804776,15,18,9,3UTR,0,0,NM_020702,MYORG,1159,1193,1.0,-26.2,1,0.00031914490000000003,0.441,0.0,0.0,-8.550105501956237,15,21,8,CDS,0,0,NM_004736,XPR1,1943,1984,0.846153846154,-21.9,1,0.01392474,0.485,0.0,0.0,-11.254033235030066,15,20,9,CDS,0,0,NM_002608,PDGFB,875,892,0.846153846154,-26.1,1,5.4692550000000005e-06,0.17600000000000002,0.0,0.0,-6.969596721160856,15,17,9,5UTR,0,0,NM_002609,PDGFRB,307,324,0.923076923077,-21.5,1,0.03011922,0.426,0.0,0.0,-8.306035456483334,15,17,12,5UTR,0,0,NM_021219,JAM2,1966,1982,1.0,-22.5,1,0.002111265,0.515,0.0,0.0,-8.327025306798681,13,16,8,3UTR,0,0
14,hsa-miR-27a-5p,NM_006749,SLC20A2,2156,2208,0.923076923077,-23.1,1,3.102054e-05,0.485,0.0,0.0,-7.1080492929027015,20,52,13,CDS,0,0,NM_020702,MYORG,1761,1804,0.846153846154,-26.5,1,4.878414000000001e-05,0.382,0.0,0.0,-5.692450279622924,19,26,8,CDS,0,0,NM_004736,XPR1,419,439,1.0,-24.4,1,0.00018317080000000003,0.529,0.0,0.0,-11.530484768797484,16,20,8,CDS,0,0,NM_033016,PDGFB,1355,1380,1.0,-25.4,1,1.199082e-06,0.397,0.0,0.0,-3.9375744462016646,20,25,10,3UTR,0,0,NM_002609,PDGFRB,3699,3721,0.846153846154,-23.6,1,7.938831e-05,0.33799999999999997,0.0,0.0,-7.270635648552919,17,22,9,CDS,0,0,NM_021219,JAM2,2882,2899,0.846153846154,-22.1,1,0.00367466,0.456,0.0,0.0,-9.546562468637928,15,17,12,3UTR,0,0
15,hsa-miR-31-5p,NM_006749,SLC20A2,2706,2744,0.846153846154,-22.4,1,0.007087439,0.382,0.0,0.0,-4.993964104447428,20,29,8,3UTR,0,0,NM_020702,MYORG,1132,1179,1.0,-21.9,1,0.0001278154,0.368,0.0,0.0,-7.140128146953473,15,17,15,CDS,0,0,NM_004736,XPR1,2064,2089,0.923076923077,-23.9,1,0.0001221579,0.426,0.0,0.0,-9.201492624835833,17,25,7,CDS,0,1,NM_002608,PDGFB,2016,2030,1.0,-24.5,1,0.0001660573,0.397,0.0,0.0,-4.761823477911366,13,14,13,3UTR,0,0,NM_002609,PDGFRB,473,503,1.0,-26.1,1,2.315761e-05,0.368,0.0,0.0,-8.968751670415351,16,20,11,CDS,0,0,NM_001270408,JAM2,515,530,0.846153846154,-18.3,1,5.86486e-06,0.235,0.0,0.0,-10.841043801151493,13,15,10,5UTR,0,0
16,hsa-miR-92a-3p,NM_006749,SLC20A2,309,359,0.923076923077,-28.1,1,1.401004e-08,0.20600000000000002,0.0,0.0,-12.893365778234287,16,19,12,5UTR,0,0,NM_020702,MYORG,3478,3496,0.846153846154,-22.8,1,8.044839999999999e-06,0.426,0.0,0.0,-12.640789312202791,17,18,17,3UTR,0,0,NM_004736,XPR1,2759,2788,0.923076923077,-22.5,1,0.000611366,0.515,0.0,0.0,-7.781775194782639,18,29,8,3UTR,1,0,NM_002608,PDGFB,3090,3139,0.923076923077,-22.0,1,2.060901e-05,0.33799999999999997,0.0,0.0,-4.95700071937229,19,49,7,3UTR,0,0,NM_002609,PDGFRB,1765,1794,0.923076923077,-24.7,1,5.874371999999999e-06,0.353,0.0,0.0,-12.916587056064325,13,15,13,CDS,0,0,NM_021219,JAM2,1207,1234,0.923076923077,-20.6,1,0.01287355,0.5589999999999999,0.0,0.0,-7.270635648552919,19,27,6,CDS,0,0
17,hsa-miR-92a-2-5p,NM_006749,SLC20A2,2179,2207,0.846153846154,-22.4,1,0.0001519199,0.485,0.0,0.0,-8.019827316048655,20,28,7,CDS,0,0,NM_020702,MYORG,2853,2890,0.923076923077,-27.4,1,2.106885e-05,0.426,0.0,0.0,-8.258727333827098,17,22,8,3UTR,0,1,NM_004736,XPR1,4017,4050,1.0,-22.3,1,0.02329254,0.574,0.0,0.0,-8.056611621014138,18,23,9,3UTR,0,0,NM_002608,PDGFB,1491,1526,0.846153846154,-26.0,1,0.0001308225,0.353,0.0,0.0,-6.236470572775607,16,35,8,CDS,0,0,NM_002609,PDGFRB,2035,2057,0.846153846154,-24.2,1,2.1567379999999998e-05,0.426,0.0,0.0,-8.740304950190831,19,22,9,CDS,0,0,NM_021219,JAM2,313,329,1.0,-21.0,1,0.04061669,0.33799999999999997,0.0,0.0,-5.227013184751041,14,16,8,5UTR,0,0
18,hsa-miR-93-5p,NM_006749,SLC20A2,1561,1602,0.846153846154,-21.8,1,0.008450953,0.368,0.0,0.0,-7.7570466620069185,16,23,6,CDS,0,0,NM_020702,MYORG,903,923,0.923076923077,-25.7,1,2.8625270000000002e-06,0.353,0.0,0.0,-9.779611548941544,16,20,9,CDS,0,0,NM_004736,XPR1,872,892,0.923076923077,-22.3,1,0.00047925690000000004,0.5,0.0,0.0,-9.3473573412163,16,20,8,CDS,0,0,NM_002608,PDGFB,1130,1152,0.923076923077,-23.9,1,4.753018e-05,0.382,0.0,0.0,-12.371336944048279,18,22,9,CDS,1,0,NM_002609,PDGFRB,2824,2843,0.923076923077,-24.2,1,0.03988680000000001,0.456,0.0,0.0,-8.530345470504251,18,19,18,CDS,0,1,NM_021219,JAM2,137,158,0.846153846154,-20.1,1,0.01165313,0.27899999999999997,0.0,0.0,-9.546562468637928,16,21,8,5UTR,0,0
19,hsa-miR-93-3p,NM_006749,SLC20A2,925,964,0.923076923077,-23.7,1,5.8743700000000005e-06,0.456,0.0,0.0,-3.793324837357118,20,39,8,CDS,0,0,NM_020702,MYORG,2848,2870,1.0,-23.8,1,0.000756198,0.382,0.0,0.0,-12.4880708220001,17,22,10,3UTR,0,0,NM_004736,XPR1,2847,2872,0.923076923077,-25.9,1,3.0610050000000003e-05,0.632,0.0,0.0,-6.3934010304742,19,25,7,3UTR,0,0,NM_002608,PDGFB,596,623,0.846153846154,-21.0,1,1.5653800000000002e-05,0.41200000000000003,0.0,0.0,-10.204762790161693,15,20,7,5UTR,0,0,NM_002609,PDGFRB,3947,3965,1.0,-23.4,1,0.00017781830000000002,0.368,0.0,0.0,-7.793845752870556,16,18,14,3UTR,0,0,NM_021219,JAM2,902,948,0.923076923077,-24.1,1,0.001437165,0.529,0.0,0.0,-6.083544976388314,18,26,6,CDS,0,0
20,hsa-miR-96-5p,NM_006749,SLC20A2,2678,2693,0.923076923077,-20.2,1,1.6221550000000001e-07,0.382,0.0,0.0,-6.013390377618053,13,15,7,3UTR,0,0,NM_020702,MYORG,377,398,1.0,-21.2,1,1.081135e-06,0.324,0.0,0.0,-9.592934641634887,17,21,9,CDS,0,0,NM_004736,XPR1,2052,2076,0.846153846154,-18.1,1,2.478978e-05,0.456,0.0,0.0,-8.994485019960868,18,24,9,CDS,0,0,NM_002608,PDGFB,1506,1518,0.923076923077,-18.3,1,0.00011392350000000001,0.324,0.0,0.0,-7.168005828254716,11,12,11,CDS,0,0,NM_002609,PDGFRB,4614,4633,0.923076923077,-18.6,1,6.117881999999999e-05,0.47100000000000003,0.0,0.0,-8.212103189489032,16,19,8,3UTR,0,0,NM_001270408,JAM2,1382,1415,1.0,-23.2,1,0.0007755267,0.515,0.0,0.0,-11.876083836819392,18,21,17,CDS,0,0
21,hsa-miR-103a-1-5p,NM_006749,SLC20A2,2002,2025,0.820512820513,-24.1,1,0.000455367,0.294,0.0,0.0,-7.525601185441849,19,23,11,CDS,0,1,NM_020702,MYORG,622,665,1.0,-24.5,1,6.682043e-06,0.265,0.0,0.0,-6.09222096393106,16,21,7,CDS,0,0,NM_004736,XPR1,1,22,0.846153846154,-24.3,1,0.02623476,0.314,0.0,0.0,-8.517224755033276,18,21,8,5UTR,0,0,NM_002608,PDGFB,2170,2209,0.923076923077,-25.9,1,2.3376710000000003e-05,0.368,0.0,0.0,-3.9375744462016646,21,39,9,3UTR,0,0,NM_002609,PDGFRB,5293,5315,0.846153846154,-26.0,1,1.684511e-05,0.382,0.0,0.0,-11.23063036852204,17,22,11,3UTR,0,0,NM_021219,JAM2,3305,3338,0.871794871795,-25.7,1,0.0002182876,0.603,0.0,0.0,-6.969596721160856,22,33,12,3UTR,0,0
22,hsa-miR-105-5p,NM_006749,SLC20A2,660,679,1.0,-19.6,1,0.0007520124000000001,0.5589999999999999,0.0,0.0,-9.286098677140123,18,19,18,CDS,0,0,NM_020702,MYORG,2894,2910,0.923076923077,-21.6,0,5.584267e-05,0.441,0.0,0.0,-16.85568901730969,13,16,7,3UTR,0,0,NM_004736,XPR1,3118,3141,0.923076923077,-20.7,1,0.0004929154,0.588,0.0,0.0,-9.546562468637928,17,23,7,3UTR,0,0,NM_002608,PDGFB,3483,3507,0.846153846154,-20.8,1,1.206989e-05,0.5,0.0,0.0,-10.282012028888564,17,24,5,3UTR,0,0,NM_002609,PDGFRB,1913,1947,0.923076923077,-24.7,0,0.003225361,0.382,0.0,0.0,-14.533279192037694,16,22,13,CDS,0,0,NM_021219,JAM2,1204,1222,0.923076923077,-19.7,0,3.870382e-06,0.544,0.0,0.0,-17.845694499765397,15,18,8,CDS,0,0
23,hsa-miR-198,NM_006749,SLC20A2,1261,1300,1.0,-30.9,1,1.670641e-06,0.397,0.0,0.0,-5.7143100613765965,19,26,7,CDS,0,0,NM_020702,MYORG,6259,6283,0.9615384615379999,-25.4,1,0.02237956,0.544,0.0,0.0,-5.180080914529842,19,24,8,3UTR,0,0,NM_004736,XPR1,3373,3398,0.846153846154,-17.0,1,0.0001638605,0.588,0.0,0.0,-4.95700071937229,17,20,14,3UTR,0,0,NM_002608,PDGFB,146,167,0.923076923077,-26.5,1,1.273521e-05,0.33799999999999997,0.0,0.0,-8.131522241951796,16,21,8,5UTR,0,0,NM_002609,PDGFRB,4697,4721,1.0,-28.5,1,0.0001302087,0.529,0.0,0.0,-5.459754139171522,19,24,9,3UTR,0,0,NM_021219,JAM2,2830,2852,0.815384615385,-23.0,1,0.2085127,0.397,0.0,0.0,-13.958091297720618,16,22,8,3UTR,0,1
24,hsa-miR-208a-5p,NM_006749,SLC20A2,3141,3163,0.923076923077,-24.5,1,3.829397e-05,0.47100000000000003,0.0,0.0,-5.9155304747804776,18,22,9,3UTR,0,0,NM_020702,MYORG,903,932,0.846153846154,-23.1,1,3.387329e-05,0.309,0.0,0.0,-3.9375744462016646,17,29,13,CDS,0,0,NM_004736,XPR1,5108,5127,0.846153846154,-22.7,1,1.556997e-06,0.5,0.0,0.0,-6.071582287698324,15,19,6,3UTR,0,0,NM_002608,PDGFB,506,548,0.923076923077,-25.2,1,2.141842e-05,0.368,0.0,0.0,-4.993964104447428,17,42,9,5UTR,0,0,NM_002609,PDGFRB,576,596,0.923076923077,-23.7,1,1.141707e-06,0.368,0.0,0.0,-8.056611621014138,16,20,12,CDS,0,0,NM_021219,JAM2,327,350,1.0,-20.9,1,3.837232e-07,0.294,0.0,0.0,-3.9375744462016646,16,23,13,5UTR,0,0
25,hsa-miR-204-5p,NM_006749,SLC20A2,3124,3154,0.846153846154,-26.6,1,0.007198945,0.41200000000000003,0.0,0.0,-5.694283598550164,18,22,12,3UTR,0,0,NM_020702,MYORG,3155,3182,1.0,-22.1,1,0.000620316,0.47100000000000003,0.0,0.0,-4.170623526505279,19,27,8,3UTR,0,1,NM_004736,XPR1,2974,3013,1.0,-22.4,1,0.0007780563,0.529,0.0,0.0,-5.190049799675903,18,39,8,3UTR,0,0,NM_002608,PDGFB,2981,3009,0.923076923077,-21.3,1,0.0008191566999999999,0.397,0.0,0.0,-4.794414363722071,19,28,8,3UTR,0,0,NM_002609,PDGFRB,5024,5047,0.846153846154,-23.0,1,0.002656985,0.353,0.0,0.0,-12.89840837219847,17,23,7,3UTR,0,1,NM_021219,JAM2,175,195,1.0,-29.1,1,8.43064e-06,0.265,0.0,0.0,-8.429258759619717,19,20,19,5UTR,0,0
26,hsa-miR-204-3p,NM_006749,SLC20A2,1184,1203,0.846153846154,-22.3,1,8.024647e-05,0.5,0.0,0.0,-14.006057095815176,13,19,6,CDS,0,0,NM_020702,MYORG,6020,6070,0.923076923077,-28.8,1,0.0001038525,0.5,0.0,0.0,-3.9375744462016646,21,44,10,3UTR,0,0,NM_004736,XPR1,845,885,0.846153846154,-23.0,1,0.0006949725,0.456,0.0,0.0,-7.382219742266032,19,40,6,CDS,0,0,NM_033016,PDGFB,896,934,0.846153846154,-22.9,1,0.00018237950000000002,0.397,0.0,0.0,-9.430348285984673,17,26,6,3UTR,0,0,NM_002609,PDGFRB,4760,4781,0.846153846154,-24.6,1,0.0002528271,0.574,0.0,0.0,-8.719953297831996,16,21,6,3UTR,0,0,NM_021219,JAM2,2837,2858,0.923076923077,-22.5,1,0.4931085,0.353,0.0,0.0,-10.829785212011442,15,21,9,3UTR,0,0
27,hsa-miR-210-5p,NM_006749,SLC20A2,1971,1986,1.0,-25.9,1,0.0001259862,0.33799999999999997,0.0,0.0,-8.968751670415351,13,15,10,CDS,0,0,NM_020702,MYORG,645,665,0.820512820513,-26.8,1,6.682043e-06,0.265,0.0,0.0,-7.396090379203992,16,20,7,CDS,0,0,NM_004736,XPR1,2928,2984,0.846153846154,-25.8,1,0.01712579,0.588,0.0,0.0,-4.95700071937229,17,40,8,3UTR,0,0,NM_002608,PDGFB,1827,1849,1.0,-27.9,1,0.006088504000000001,0.485,0.0,0.0,-6.514540193678738,17,22,10,3UTR,0,0,NM_002609,PDGFRB,1414,1439,0.846153846154,-25.7,1,0.0057423840000000006,0.397,0.0,0.0,-6.106959766537749,16,25,6,CDS,0,0,NM_021219,JAM2,150,194,1.0,-26.6,1,1.9012000000000001e-06,0.265,0.0,0.0,-8.303804028968646,17,23,10,5UTR,0,0
